id	label	run_id
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/comiicsatk/2022-11-16_16-25-25_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2020-02-12_01-00-01_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/ex.officiall/2021-09-23_15-50-44_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Pinterest/images/pinterest_image_august13/www.pinterest.com_pin_578853358376880423/3312d32d301d0eff7ee68b85ab54e181.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/de7ktna/2019-05-24_10-33-10_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Facebook/images/MemesYard/40917889_279765709310467_7547071847691452416_n.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Pinterest/images/pinterest_image_august13/www.pinterest.com_pin_147915169002483733/940db97c1bd88ffaa545b202b08501d2.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Pinterest/images/pinterest_image_august13/www.pinterest.com_pin_899031144344763392/068a4865772462e714a57c070687166d.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/ex.officiall/2023-01-11_11-50-15_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Facebook/images/ArabianMemez/277818798_1330534560787435_1241891990527214633_n.jpg	propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Facebook/images/nasseralkhlify/29790729_1631688883594261_1662085631549340539_n.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Pinterest/images/pinterest_images_part2/www.pinterest.com_pin_186758715790591597/f9f03c4d625aaf6ecdbfae38fdc547e5.jpg	propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Pinterest/images/pinterest_images_part2/www.pinterest.com_pin_69242912999681646/a4f209d796549986422ca535453f0d19.jpg	propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Facebook/images/msr5er/277166278_962042984505711_7371403808861356944_n.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/ex.officiall/2022-04-09_14-34-23_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/8yerjaw/2022-07-24_07-56-23_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/ex.officiall/2021-10-11_16-28-02_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/ex.officiall/2020-10-08_13-59-00_UTC.jpg	not_propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/ex.officiall/2020-05-06_18-06-13_UTC.jpg	propaganda	DistilBERT+ResNet
data/arabic_memes_fb_insta_pinterest/Instagram/IMAGES/ex.officiall/2020-08-30_13-23-03_UTC.jpg	not_propaganda	DistilBERT+ResNet
